gene_id
ENSG00000270446.1_5
ENSG00000271056.1_5
ENSG00000226119.1_5
ENSG00000234901.1_4
ENSG00000201392.1
ENSG00000204131.9_5
ENSG00000196933.5_2
ENSG00000242732.4_5
ENSG00000248345.1
ENSG00000215933.1
ENSG00000225471.5_5
ENSG00000102309.13_5
ENSG00000239577.2
ENSG00000186871.7_5
ENSG00000264396.1
ENSG00000198034.11_3
ENSG00000238926.1
ENSG00000125931.11_6
ENSG00000285547.1_1
ENSG00000147099.21_4
ENSG00000271209.1_4
ENSG00000223260.1
ENSG00000235976.2_5
ENSG00000102043.16_4
ENSG00000283349.3_5
ENSG00000230889.2_4
ENSG00000198934.4_3
ENSG00000223259.1_1
ENSG00000235447.2_4
ENSG00000280870.2_3
ENSG00000184905.9_4
ENSG00000102290.22_3
ENSG00000215089.3_4
ENSG00000211526.1
ENSG00000230543.1_4
ENSG00000225912.1_5
ENSG00000285445.1_3
ENSG00000237873.1_5
ENSG00000234130.2_5
ENSG00000126733.21_6
ENSG00000227261.1_4
ENSG00000232069.1_4
ENSG00000283178.1_5
